republican.therm,democrat.therm,gender,race,partisanship,income,education,age,religion
95,84,Male,White/Caucasian,Democrat,"Less than 30,000",Less than High School,33,Athiest
33,30,Female,White/Caucasian,Republican,"100,000 or more",4-year College Degree,33,Christian
33,0,Male,White/Caucasian,Republican,"Less than 30,000",Some College,42,Other
93,24,Female,White/Caucasian,Republican,"50,000 - 59,999",4-year College Degree,59,Christian
72,61,Male,White/Caucasian,Republican,"100,000 or more",Doctoral Degree,51,Other
100,0,Male,White/Caucasian,Republican,"50,000 - 59,999",4-year College Degree,90,Christian
100,6,Female,Hispanic,Republican,"80,000 - 89,999",High School / GED,51,Christian
82,82,Male,White/Caucasian,Republican,"30,000 - 39,999",Some College,88,Christian
76,36,Female,White/Caucasian,Democrat,"90,000 - 99,999",4-year College Degree,32,Other
64,83,Female,African American,Independent,"30,000 - 39,999",4-year College Degree,58,Christian
97,74,Female,White/Caucasian,Republican,"90,000 - 99,999",Doctoral Degree,64,Christian
100,1,Male,White/Caucasian,Republican,"70,000 - 79,999",2-year College Degree,79,Christian
54,100,Female,African American,Democrat,"Less than 30,000",High School / GED,35,Christian
10,90,Female,African American,Democrat,"40,000 - 49,999",Some College,45,Christian
24,91,Female,White/Caucasian,Independent,"100,000 or more",4-year College Degree,32,Christian
66,26,Female,Asian,Republican,"100,000 or more",High School / GED,34,Christian
73,81,Female,Other,Independent,"70,000 - 79,999",Masters Degree,42,Christian
23,100,Male,White/Caucasian,Democrat,"Less than 30,000",2-year College Degree,66,Christian
0,0,Male,White/Caucasian,Independent,"60,000 - 69,999",Doctoral Degree,48,Christian
100,100,Female,Native American,Other,"40,000 - 49,999",Some College,24,Christian
76,39,Female,White/Caucasian,Republican,"100,000 or more",Masters Degree,42,Christian
59,37,Female,White/Caucasian,Independent,"50,000 - 59,999",Some College,31,Christian
27,76,Female,White/Caucasian,Other,"Less than 30,000",Masters Degree,86,Other
61,63,Female,African American,Democrat,"30,000 - 39,999",Some College,27,Christian
40,30,Male,White/Caucasian,Independent,"90,000 - 99,999",Some College,45,Christian
0,28,Male,White/Caucasian,Independent,"60,000 - 69,999",4-year College Degree,58,Athiest
40,73,Male,White/Caucasian,Democrat,"100,000 or more",2-year College Degree,22,Athiest
42,0,Male,White/Caucasian,Independent,"50,000 - 59,999",High School / GED,58,Christian
81,9,Male,White/Caucasian,Republican,"70,000 - 79,999",4-year College Degree,64,Christian
68,23,Female,White/Caucasian,Republican,"Less than 30,000",Masters Degree,28,Christian
50,50,Male,White/Caucasian,Independent,"60,000 - 69,999",4-year College Degree,63,Jewish
20,52,Female,Hispanic,Democrat,"90,000 - 99,999",High School / GED,46,Christian
17,85,Male,White/Caucasian,Democrat,"90,000 - 99,999",Masters Degree,26,Athiest
64,55,Male,White/Caucasian,Democrat,"Less than 30,000",4-year College Degree,38,Christian
20,20,Female,Hispanic,Independent,"50,000 - 59,999",2-year College Degree,23,Other
0,69,Female,African American,Democrat,"Less than 30,000",2-year College Degree,65,Other
31,64,Female,White/Caucasian,Democrat,"50,000 - 59,999",Some College,61,Christian
16,41,Male,White/Caucasian,Independent,"60,000 - 69,999",4-year College Degree,66,Christian
62,39,Male,White/Caucasian,Republican,"80,000 - 89,999",4-year College Degree,87,Christian
50,50,Female,White/Caucasian,Democrat,"90,000 - 99,999",Some College,56,Christian
0,3,Male,White/Caucasian,Other,"Less than 30,000",Some College,40,Athiest
93,84,Female,White/Caucasian,Independent,"90,000 - 99,999",4-year College Degree,31,Christian
79,82,Male,African American,Democrat,"30,000 - 39,999",Some College,56,Christian
42,62,Female,White/Caucasian,Democrat,"Less than 30,000",Some College,62,Christian
5,100,Female,White/Caucasian,Democrat,"100,000 or more",Masters Degree,61,Athiest
0,93,Female,White/Caucasian,Democrat,"Less than 30,000",Some College,28,Other
1,100,Male,Pacific Islander,Independent,"100,000 or more",4-year College Degree,34,Other
50,99,Female,White/Caucasian,Democrat,"90,000 - 99,999",Masters Degree,64,Jewish
36,69,Male,White/Caucasian,Independent,"90,000 - 99,999",2-year College Degree,58,Other
30,49,Female,White/Caucasian,Democrat,"90,000 - 99,999",Masters Degree,64,Christian
0,0,Female,Hispanic,Other,"Less than 30,000",2-year College Degree,26,Christian
100,100,Male,White/Caucasian,Independent,"60,000 - 69,999",Some College,24,Christian
67,27,Male,White/Caucasian,Independent,"60,000 - 69,999",Some College,41,Other
51,47,Male,White/Caucasian,Republican,"Less than 30,000",Some College,52,Christian
80,7,Male,White/Caucasian,Republican,"30,000 - 39,999",High School / GED,43,Christian
99,30,Male,White/Caucasian,Republican,"70,000 - 79,999",4-year College Degree,61,Christian
83,63,Female,White/Caucasian,Republican,"40,000 - 49,999",4-year College Degree,42,Christian
13,58,Female,Hispanic,Democrat,"90,000 - 99,999",2-year College Degree,28,Muslim
100,81,Female,White/Caucasian,Republican,"40,000 - 49,999",Some College,39,Christian
17,66,Female,Asian,Democrat,"30,000 - 39,999",High School / GED,23,Athiest
0,90,Female,White/Caucasian,Democrat,"90,000 - 99,999",Doctoral Degree,79,Jewish
71,74,Male,White/Caucasian,Independent,"Less than 30,000",High School / GED,69,Christian
6,82,Female,White/Caucasian,Independent,"Less than 30,000",Some College,69,Other
71,41,Female,White/Caucasian,Republican,"100,000 or more",4-year College Degree,61,Christian
67,63,Male,Asian,Independent,"40,000 - 49,999",2-year College Degree,43,Christian
40,69,Male,White/Caucasian,Independent,"50,000 - 59,999",2-year College Degree,68,Other
86,71,Female,White/Caucasian,Republican,"100,000 or more",4-year College Degree,56,Christian
58,17,Male,White/Caucasian,Independent,"Less than 30,000",Some College,57,Christian
33,51,Female,White/Caucasian,Democrat,"60,000 - 69,999",4-year College Degree,55,Jewish
97,100,Female,White/Caucasian,Republican,"40,000 - 49,999",High School / GED,90,Christian
41,61,Female,White/Caucasian,Democrat,"30,000 - 39,999",Some College,59,Christian
12,81,Female,White/Caucasian,Democrat,"50,000 - 59,999",Masters Degree,59,Christian
0,90,Male,White/Caucasian,Democrat,"90,000 - 99,999",Masters Degree,70,Christian
3,66,Female,Hispanic,Independent,"Less than 30,000",4-year College Degree,25,Christian
75,71,Female,White/Caucasian,Independent,"Less than 30,000",High School / GED,57,Christian
96,80,Female,White/Caucasian,Republican,"40,000 - 49,999",High School / GED,65,Christian
18,69,Female,White/Caucasian,Democrat,"70,000 - 79,999",Doctoral Degree,70,Athiest
84,70,Female,White/Caucasian,Republican,"Less than 30,000",Some College,78,Christian
64,45,Female,White/Caucasian,Republican,"Less than 30,000",Masters Degree,28,Christian
0,100,Male,White/Caucasian,Democrat,"100,000 or more",High School / GED,54,Christian
39,65,Male,White/Caucasian,Democrat,"100,000 or more",Masters Degree,62,Christian
37,51,Male,White/Caucasian,Independent,"Less than 30,000",High School / GED,48,Christian
33,65,Female,White/Caucasian,Democrat,"90,000 - 99,999",4-year College Degree,82,Jewish
1,28,Male,Hispanic,Democrat,"80,000 - 89,999",Masters Degree,28,Christian
78,80,Female,White/Caucasian,Republican,"Less than 30,000",Some College,80,Christian
53,11,Female,White/Caucasian,Democrat,"70,000 - 79,999",Some College,75,Christian
83,62,Female,White/Caucasian,Independent,"40,000 - 49,999",High School / GED,63,Christian
100,100,Male,Other,Independent,"100,000 or more","Professional Degree (JD, MD)",20,Christian
75,13,Male,White/Caucasian,Republican,"100,000 or more",Masters Degree,50,Christian
28,84,Male,White/Caucasian,Democrat,"70,000 - 79,999",Some College,52,Christian
42,51,Female,Hispanic,Democrat,"50,000 - 59,999",4-year College Degree,34,Athiest
76,75,Female,Asian,Democrat,"40,000 - 49,999",4-year College Degree,47,Christian
0,100,Female,White/Caucasian,Democrat,"Less than 30,000",4-year College Degree,64,Other
84,94,Male,African American,Democrat,"Less than 30,000",High School / GED,40,Other
42,75,Male,White/Caucasian,Democrat,"30,000 - 39,999",High School / GED,46,Christian
13,31,Male,White/Caucasian,Independent,"30,000 - 39,999",Masters Degree,46,Other
40,45,Male,White/Caucasian,Independent,"Less than 30,000",High School / GED,87,Christian
17,90,Female,White/Caucasian,Democrat,"30,000 - 39,999",4-year College Degree,42,Jewish
19,100,Female,White/Caucasian,Democrat,"Less than 30,000",Some College,67,Christian
54,54,Male,Asian,Independent,"40,000 - 49,999",4-year College Degree,40,Buddhist
83,27,Male,White/Caucasian,Republican,"100,000 or more",Masters Degree,92,Christian
21,34,Female,White/Caucasian,Republican,"50,000 - 59,999",Some College,30,Christian
25,95,Male,White/Caucasian,Independent,"100,000 or more",Some College,22,Athiest
60,31,Female,White/Caucasian,Republican,"40,000 - 49,999",High School / GED,19,Christian
57,52,Female,White/Caucasian,Democrat,"60,000 - 69,999",4-year College Degree,43,Christian
62,17,Male,White/Caucasian,Republican,"60,000 - 69,999",Masters Degree,37,Christian
18,83,Female,White/Caucasian,Independent,"100,000 or more",Masters Degree,70,Jewish
100,0,Male,White/Caucasian,Republican,"70,000 - 79,999",High School / GED,23,Christian
55,44,Female,African American,Independent,"70,000 - 79,999",Some College,56,Christian
86,44,Male,White/Caucasian,Republican,"50,000 - 59,999",Some College,67,Christian
8,26,Female,Hispanic,Independent,"100,000 or more",2-year College Degree,30,Other
16,100,Female,White/Caucasian,Democrat,"30,000 - 39,999",High School / GED,59,Christian
6,38,Male,White/Caucasian,Independent,"100,000 or more",Doctoral Degree,75,Muslim
25,77,Female,White/Caucasian,Republican,"70,000 - 79,999",4-year College Degree,37,Christian
96,74,Female,White/Caucasian,Republican,"60,000 - 69,999",4-year College Degree,57,Christian
46,44,Male,White/Caucasian,Independent,"Less than 30,000",High School / GED,44,Christian
66,76,Male,African American,Republican,"50,000 - 59,999",4-year College Degree,43,Jewish
18,59,Female,Asian,Democrat,"Less than 30,000",Some College,21,Christian
34,89,Male,White/Caucasian,Democrat,"40,000 - 49,999",Masters Degree,60,Christian
27,95,Male,Hispanic,Democrat,"Less than 30,000",High School / GED,20,Christian
20,21,Female,White/Caucasian,Independent,"Less than 30,000",High School / GED,60,Christian
79,89,Male,African American,Independent,"40,000 - 49,999",Some College,62,Christian
76,47,Female,White/Caucasian,Republican,"80,000 - 89,999",4-year College Degree,62,Christian
51,40,Female,White/Caucasian,Independent,"50,000 - 59,999",Some College,70,Christian
99,100,Female,African American,Democrat,"40,000 - 49,999",Some College,19,Other
84,76,Female,White/Caucasian,Independent,"100,000 or more",4-year College Degree,30,Christian
27,49,Female,Other,Democrat,"Less than 30,000",2-year College Degree,22,Christian
68,60,Male,White/Caucasian,Republican,"100,000 or more",4-year College Degree,36,Christian
32,71,Female,African American,Independent,"70,000 - 79,999",4-year College Degree,39,Christian
77,86,Male,White/Caucasian,Republican,"90,000 - 99,999",Masters Degree,29,Other
64,26,Female,White/Caucasian,Republican,"100,000 or more",Doctoral Degree,82,Christian
70,25,Male,White/Caucasian,Republican,"60,000 - 69,999","Professional Degree (JD, MD)",35,Christian
26,100,Female,African American,Democrat,"60,000 - 69,999",Masters Degree,24,Christian
90,0,Female,White/Caucasian,Republican,"Less than 30,000",Some College,63,Christian
73,33,Male,White/Caucasian,Independent,"Less than 30,000",4-year College Degree,65,Christian
52,52,Female,White/Caucasian,Other,"30,000 - 39,999",High School / GED,56,Christian
100,0,Female,White/Caucasian,Republican,"60,000 - 69,999",High School / GED,64,Christian
0,81,Female,White/Caucasian,Democrat,"100,000 or more",4-year College Degree,59,Athiest
56,40,Male,White/Caucasian,Independent,"50,000 - 59,999",High School / GED,56,Christian
16,37,Male,White/Caucasian,Independent,"50,000 - 59,999",4-year College Degree,32,Christian
49,73,Female,African American,Democrat,"40,000 - 49,999",Some College,57,Christian
57,57,Female,White/Caucasian,Republican,"100,000 or more",Some College,37,Christian
3,67,Male,Other,Independent,"80,000 - 89,999",4-year College Degree,46,Athiest
61,53,Male,White/Caucasian,Republican,"100,000 or more",Some College,45,Christian
43,59,Male,White/Caucasian,Democrat,"70,000 - 79,999",Masters Degree,68,Jewish
46,50,Male,African American,Independent,"Less than 30,000",High School / GED,32,Christian
13,100,Female,Hispanic,Democrat,"60,000 - 69,999",Some College,60,Christian
45,46,Male,White/Caucasian,Other,"60,000 - 69,999",Masters Degree,38,Christian
38,73,Female,Hispanic,Democrat,"50,000 - 59,999",Some College,38,Other
8,100,Male,Hispanic,Democrat,"40,000 - 49,999",High School / GED,24,Christian
76,28,Female,White/Caucasian,Republican,"30,000 - 39,999",High School / GED,41,Christian
78,25,Female,White/Caucasian,Republican,"100,000 or more",Some College,67,Christian
8,50,Female,White/Caucasian,Independent,"30,000 - 39,999",4-year College Degree,22,Christian
0,59,Male,White/Caucasian,Democrat,"100,000 or more",Masters Degree,46,Christian
0,89,Male,White/Caucasian,Other,"30,000 - 39,999",2-year College Degree,59,Other
86,98,Male,White/Caucasian,Democrat,"60,000 - 69,999",Some College,24,Jewish
83,41,Female,White/Caucasian,Republican,"100,000 or more",4-year College Degree,80,Christian
30,76,Female,Asian,Democrat,"100,000 or more","Professional Degree (JD, MD)",33,Christian
29,64,Male,White/Caucasian,Independent,"100,000 or more","Professional Degree (JD, MD)",86,Jewish
0,100,Female,White/Caucasian,Democrat,"100,000 or more",Masters Degree,63,Christian
29,37,Male,White/Caucasian,Democrat,"Less than 30,000",High School / GED,19,Other
0,98,Female,Hispanic,Democrat,"60,000 - 69,999",4-year College Degree,24,Athiest
69,35,Male,White/Caucasian,Independent,"Less than 30,000",Some College,44,Christian
65,62,Male,White/Caucasian,Independent,"30,000 - 39,999",4-year College Degree,69,Christian
81,87,Female,White/Caucasian,Republican,"50,000 - 59,999",High School / GED,56,Christian
31,71,Male,White/Caucasian,Democrat,"50,000 - 59,999",Some College,50,Christian
5,79,Male,White/Caucasian,Democrat,"50,000 - 59,999",4-year College Degree,25,Other
62,31,Female,Asian,Republican,"40,000 - 49,999",4-year College Degree,50,Christian
56,3,Male,White/Caucasian,Republican,"50,000 - 59,999",Masters Degree,79,Christian
95,16,Female,Asian,Republican,"30,000 - 39,999",High School / GED,36,Christian
65,45,Female,Other,Republican,"60,000 - 69,999",Some College,79,Christian
89,54,Female,White/Caucasian,Republican,"50,000 - 59,999",Some College,58,Christian
100,100,Male,White/Caucasian,Republican,"Less than 30,000",High School / GED,50,Christian
0,66,Female,Asian,Independent,"80,000 - 89,999",Some College,33,Jewish
68,3,Male,White/Caucasian,Other,"Less than 30,000",4-year College Degree,77,Christian
76,75,Female,Asian,Democrat,"Less than 30,000",4-year College Degree,23,Christian
56,25,Female,White/Caucasian,Republican,"60,000 - 69,999",4-year College Degree,52,Christian
72,45,Female,White/Caucasian,Republican,"70,000 - 79,999",4-year College Degree,69,Christian
44,88,Male,White/Caucasian,Democrat,"40,000 - 49,999",High School / GED,46,Christian
82,82,Female,White/Caucasian,Republican,"100,000 or more",4-year College Degree,32,Christian
65,91,Male,White/Caucasian,Democrat,"Less than 30,000",High School / GED,57,Christian
5,87,Female,White/Caucasian,Democrat,"30,000 - 39,999",Some College,64,Christian
33,0,Female,White/Caucasian,Republican,"Less than 30,000",High School / GED,64,Christian
58,33,Male,White/Caucasian,Independent,"30,000 - 39,999",4-year College Degree,37,Christian
12,91,Female,White/Caucasian,Democrat,"60,000 - 69,999",High School / GED,89,Jewish
68,69,Male,White/Caucasian,Independent,"50,000 - 59,999",Some College,46,Christian
73,65,Female,White/Caucasian,Republican,"Less than 30,000",4-year College Degree,33,Christian
90,35,Female,White/Caucasian,Independent,"90,000 - 99,999",Masters Degree,54,Christian
66,66,Female,White/Caucasian,Democrat,"100,000 or more",2-year College Degree,78,Christian
0,74,Male,White/Caucasian,Democrat,"100,000 or more",4-year College Degree,75,Christian
100,100,Female,White/Caucasian,Republican,"30,000 - 39,999",Some College,63,Christian
69,90,Male,African American,Democrat,"50,000 - 59,999",Masters Degree,28,Christian
75,27,Male,White/Caucasian,Republican,"100,000 or more","Professional Degree (JD, MD)",86,Christian
2,82,Female,Hispanic,Democrat,"30,000 - 39,999",2-year College Degree,49,Other
100,63,Female,White/Caucasian,Republican,"40,000 - 49,999",4-year College Degree,29,Christian
54,8,Male,White/Caucasian,Republican,"30,000 - 39,999",Some College,51,Christian
71,28,Female,White/Caucasian,Republican,"50,000 - 59,999",4-year College Degree,68,Christian
27,83,Female,African American,Independent,"Less than 30,000",4-year College Degree,22,Other
41,59,Male,African American,Democrat,"Less than 30,000",Some College,21,Christian
54,69,Female,White/Caucasian,Independent,"Less than 30,000",4-year College Degree,67,Other
25,76,Male,White/Caucasian,Independent,"40,000 - 49,999",Some College,61,Christian
40,43,Female,African American,Independent,"40,000 - 49,999",4-year College Degree,33,Christian
35,92,Female,White/Caucasian,Democrat,"Less than 30,000",High School / GED,71,Other
1,88,Male,White/Caucasian,Democrat,"40,000 - 49,999",High School / GED,47,Other
74,82,Male,White/Caucasian,Democrat,"80,000 - 89,999",Doctoral Degree,35,Christian
52,31,Male,White/Caucasian,Independent,"Less than 30,000",Some College,48,Christian
81,86,Female,White/Caucasian,Republican,"50,000 - 59,999",2-year College Degree,55,Christian
16,66,Male,White/Caucasian,Independent,"Less than 30,000",4-year College Degree,77,Christian
19,84,Male,White/Caucasian,Democrat,"Less than 30,000",4-year College Degree,57,Christian
93,58,Male,White/Caucasian,Republican,"100,000 or more",Masters Degree,78,Christian
71,54,Female,Native American,Republican,"30,000 - 39,999",High School / GED,24,Christian
76,5,Male,White/Caucasian,Independent,"50,000 - 59,999",2-year College Degree,49,Christian
0,100,Female,Other,Democrat,"70,000 - 79,999",4-year College Degree,34,Other
2,98,Male,White/Caucasian,Democrat,"60,000 - 69,999",Some College,37,Christian
36,72,Male,White/Caucasian,Independent,"50,000 - 59,999",4-year College Degree,64,Christian
31,25,Male,White/Caucasian,Other,"100,000 or more",Some College,22,Other
100,0,Female,White/Caucasian,Republican,"80,000 - 89,999",Some College,72,Christian
38,66,Female,White/Caucasian,Independent,"50,000 - 59,999",2-year College Degree,30,Athiest
0,100,Male,White/Caucasian,Other,"Less than 30,000",Some College,21,Christian
80,86,Female,Hispanic,Republican,"50,000 - 59,999",4-year College Degree,28,Christian
62,0,Male,White/Caucasian,Republican,"70,000 - 79,999",Masters Degree,77,Christian
0,11,Male,White/Caucasian,Other,"40,000 - 49,999",High School / GED,21,Other
89,26,Male,Hispanic,Republican,"60,000 - 69,999",4-year College Degree,24,Athiest
67,35,Female,White/Caucasian,Republican,"90,000 - 99,999",4-year College Degree,77,Christian
43,43,Male,White/Caucasian,Democrat,"100,000 or more",2-year College Degree,65,Christian
80,0,Male,White/Caucasian,Republican,"Less than 30,000",Some College,65,Christian
32,82,Female,White/Caucasian,Democrat,"Less than 30,000",Some College,56,Christian
100,43,Male,White/Caucasian,Republican,"Less than 30,000",2-year College Degree,59,Christian
30,67,Male,White/Caucasian,Independent,"100,000 or more",Masters Degree,38,Athiest
75,23,Male,White/Caucasian,Independent,"70,000 - 79,999",4-year College Degree,34,Other
100,20,Male,White/Caucasian,Republican,"50,000 - 59,999",2-year College Degree,75,Christian
100,100,Female,White/Caucasian,Independent,"50,000 - 59,999",Some College,21,Christian
43,54,Male,White/Caucasian,Democrat,"Less than 30,000",High School / GED,49,Christian
11,52,Female,White/Caucasian,Independent,"60,000 - 69,999",Some College,21,Christian
51,23,Male,White/Caucasian,Independent,"70,000 - 79,999",Doctoral Degree,90,Christian
90,20,Male,White/Caucasian,Republican,"80,000 - 89,999",Masters Degree,24,Christian
77,75,Female,Hispanic,Republican,"70,000 - 79,999",Some College,25,Buddhist
3,98,Female,White/Caucasian,Independent,"100,000 or more","Professional Degree (JD, MD)",35,Other
0,100,Male,White/Caucasian,Republican,"Less than 30,000",High School / GED,49,Christian
27,61,Male,Asian,Independent,"100,000 or more",Masters Degree,36,Hindu
83,28,Male,White/Caucasian,Republican,"Less than 30,000",Some College,46,Christian
27,90,Male,White/Caucasian,Democrat,"100,000 or more",Masters Degree,59,Jewish
35,35,Male,White/Caucasian,Independent,"90,000 - 99,999",4-year College Degree,49,Christian
0,0,Male,Other,Independent,"Less than 30,000",4-year College Degree,27,Athiest
0,100,Male,White/Caucasian,Democrat,"100,000 or more",4-year College Degree,39,Other
49,49,Male,White/Caucasian,Independent,"Less than 30,000",2-year College Degree,67,Other
22,91,Female,White/Caucasian,Democrat,"70,000 - 79,999",Some College,66,Christian
8,50,Male,White/Caucasian,Independent,"Less than 30,000",Some College,30,Athiest
77,91,Male,White/Caucasian,Democrat,"80,000 - 89,999",Masters Degree,40,Muslim
30,86,Male,White/Caucasian,Democrat,"80,000 - 89,999",4-year College Degree,40,Muslim
62,36,Female,White/Caucasian,Republican,"100,000 or more",Masters Degree,50,Christian
10,67,Female,Other,Democrat,"Less than 30,000",2-year College Degree,39,Other
90,76,Female,White/Caucasian,Independent,"90,000 - 99,999",4-year College Degree,27,Christian
31,52,Female,White/Caucasian,Republican,"Less than 30,000",High School / GED,48,Christian
8,98,Female,White/Caucasian,Democrat,"100,000 or more",High School / GED,70,Christian
94,99,Female,Hispanic,Other,"Less than 30,000",Some College,43,Christian
100,51,Female,White/Caucasian,Republican,"100,000 or more",4-year College Degree,33,Christian
100,30,Male,White/Caucasian,Republican,"100,000 or more",Masters Degree,54,Christian
80,46,Male,White/Caucasian,Republican,"100,000 or more",4-year College Degree,48,Christian
28,45,Male,White/Caucasian,Independent,"30,000 - 39,999",High School / GED,50,Other
51,8,Male,White/Caucasian,Republican,"100,000 or more",4-year College Degree,48,Christian
21,62,Female,White/Caucasian,Democrat,"Less than 30,000",Some College,50,Athiest
68,41,Female,White/Caucasian,Republican,"100,000 or more",4-year College Degree,57,Christian
59,60,Male,White/Caucasian,Democrat,"100,000 or more",4-year College Degree,36,Christian
100,100,Male,Hispanic,Democrat,"30,000 - 39,999",High School / GED,31,Christian
73,83,Male,White/Caucasian,Independent,"60,000 - 69,999",Some College,76,Christian
83,100,Female,African American,Democrat,"Less than 30,000",High School / GED,20,Athiest
5,85,Male,White/Caucasian,Independent,"Less than 30,000",4-year College Degree,48,Athiest
12,70,Female,White/Caucasian,Democrat,"Less than 30,000",Masters Degree,57,Other
100,0,Female,Hispanic,Independent,"30,000 - 39,999",2-year College Degree,24,Christian
75,4,Male,White/Caucasian,Republican,"80,000 - 89,999",Some College,22,Christian
96,8,Male,White/Caucasian,Republican,"100,000 or more",4-year College Degree,40,Christian
81,79,Male,White/Caucasian,Republican,"70,000 - 79,999",High School / GED,18,Christian
49,52,Male,White/Caucasian,Democrat,"50,000 - 59,999",High School / GED,36,Christian
32,100,Female,Hispanic,Democrat,"Less than 30,000",Some College,26,Other
8,68,Female,Asian,Democrat,"90,000 - 99,999",Masters Degree,27,Christian
30,37,Female,White/Caucasian,Republican,"Less than 30,000",High School / GED,59,Christian
81,17,Male,White/Caucasian,Republican,"70,000 - 79,999",High School / GED,45,Christian
80,9,Female,Asian,Republican,"Less than 30,000",4-year College Degree,66,Christian
87,97,Female,White/Caucasian,Democrat,"Less than 30,000",High School / GED,64,Christian
9,82,Female,Asian,Democrat,"Less than 30,000",High School / GED,19,Athiest
12,92,Female,African American,Democrat,"30,000 - 39,999",High School / GED,62,Christian
0,98,Female,Hispanic,Democrat,"30,000 - 39,999",4-year College Degree,25,Athiest
88,40,Female,Asian,Republican,"100,000 or more",4-year College Degree,24,Christian
100,100,Male,Hispanic,Independent,"Less than 30,000",Some College,20,Christian
46,21,Male,White/Caucasian,Republican,"100,000 or more",4-year College Degree,41,Other
55,28,Male,White/Caucasian,Republican,"50,000 - 59,999",2-year College Degree,44,Other
21,63,Female,Hispanic,Democrat,"100,000 or more",Masters Degree,28,Christian
51,91,Male,White/Caucasian,Independent,"30,000 - 39,999",Some College,51,Christian
1,77,Male,White/Caucasian,Democrat,"80,000 - 89,999",Masters Degree,34,Jewish
41,82,Male,African American,Democrat,"100,000 or more",4-year College Degree,52,Athiest
51,51,Male,African American,Republican,"Less than 30,000",High School / GED,34,Christian
38,93,Female,Hispanic,Democrat,"80,000 - 89,999",Masters Degree,57,Christian
72,80,Female,African American,Democrat,"50,000 - 59,999",Some College,62,Other
0,100,Female,Hispanic,Democrat,"60,000 - 69,999",High School / GED,29,Other
9,30,Female,Asian,Independent,"100,000 or more",4-year College Degree,25,Buddhist
80,67,Female,White/Caucasian,Republican,"70,000 - 79,999",High School / GED,86,Christian
0,82,Male,Hispanic,Independent,"Less than 30,000",Some College,21,Athiest
45,100,Female,White/Caucasian,Independent,"100,000 or more",Some College,35,Christian
7,36,Male,White/Caucasian,Democrat,"30,000 - 39,999",2-year College Degree,48,Athiest
20,19,Male,Hispanic,Independent,"Less than 30,000",High School / GED,40,Other
96,9,Male,White/Caucasian,Republican,"100,000 or more",Masters Degree,79,Christian
28,61,Female,White/Caucasian,Democrat,"30,000 - 39,999",2-year College Degree,63,Christian
83,41,Male,White/Caucasian,Republican,"50,000 - 59,999",4-year College Degree,28,Christian
100,0,Male,Other,Republican,"Less than 30,000",High School / GED,22,Christian
38,76,Female,White/Caucasian,Democrat,"30,000 - 39,999",Some College,75,Christian
17,100,Female,African American,Democrat,"Less than 30,000",High School / GED,29,Christian
91,65,Female,Asian,Republican,"50,000 - 59,999",Some College,28,Christian
10,100,Female,African American,Independent,"Less than 30,000",Some College,25,Christian
61,41,Male,White/Caucasian,Independent,"100,000 or more",Masters Degree,58,Other
49,49,Male,White/Caucasian,Independent,"Less than 30,000",Masters Degree,36,Christian
29,31,Male,White/Caucasian,Independent,"90,000 - 99,999",Masters Degree,50,Christian
51,58,Female,White/Caucasian,Independent,"80,000 - 89,999",4-year College Degree,36,Muslim
32,32,Female,White/Caucasian,Other,"Less than 30,000",High School / GED,38,Other
71,0,Female,Asian,Republican,"30,000 - 39,999",Some College,24,Christian
0,79,Male,White/Caucasian,Democrat,"80,000 - 89,999",Some College,35,Athiest
37,65,Male,White/Caucasian,Independent,"70,000 - 79,999",4-year College Degree,51,Christian
62,0,Female,White/Caucasian,Republican,"50,000 - 59,999",High School / GED,75,Christian
20,51,Female,White/Caucasian,Democrat,"40,000 - 49,999",4-year College Degree,90,Christian
31,34,Male,White/Caucasian,Democrat,"Less than 30,000",High School / GED,75,Other
39,14,Female,African American,Independent,"90,000 - 99,999",High School / GED,28,Christian
100,74,Female,Asian,Republican,"Less than 30,000",2-year College Degree,65,Muslim
48,33,Female,White/Caucasian,Independent,"50,000 - 59,999",Some College,58,Christian
66,91,Female,White/Caucasian,Democrat,"50,000 - 59,999",Some College,69,Christian
64,55,Male,White/Caucasian,Republican,"40,000 - 49,999",Some College,46,Christian
62,81,Female,Other,Independent,"Less than 30,000",Some College,21,Christian
88,63,Female,White/Caucasian,Republican,"30,000 - 39,999",Some College,64,Jewish
79,64,Male,White/Caucasian,Republican,"80,000 - 89,999",4-year College Degree,46,Christian
40,58,Male,White/Caucasian,Independent,"Less than 30,000",Some College,31,Other
62,65,Male,African American,Democrat,"Less than 30,000",Some College,22,Christian
23,97,Female,White/Caucasian,Independent,"100,000 or more",2-year College Degree,25,Christian
28,27,Male,Native American,Independent,"Less than 30,000",Some College,40,Other
29,13,Female,Other,Other,"Less than 30,000",Less than High School,31,Jewish
16,88,Female,White/Caucasian,Democrat,"40,000 - 49,999",High School / GED,45,Christian
25,73,Female,Hispanic,Democrat,"40,000 - 49,999",4-year College Degree,26,Christian
0,0,Male,White/Caucasian,Independent,"80,000 - 89,999",Masters Degree,68,Jewish
8,92,Female,African American,Democrat,"30,000 - 39,999",4-year College Degree,25,Christian
84,74,Male,Asian,Republican,"60,000 - 69,999",4-year College Degree,27,Christian
100,16,Female,African American,Democrat,"Less than 30,000",High School / GED,25,Christian
100,100,Female,African American,Other,"30,000 - 39,999",Some College,19,Christian
87,23,Female,White/Caucasian,Republican,"Less than 30,000",High School / GED,77,Christian
58,91,Male,White/Caucasian,Republican,"Less than 30,000",Some College,63,Christian
